Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
402279346,"2026-03-13 22:48:43",sell,0.01,XAUUSD,5015.24000000,5070.68,4917.11000000,"2026-03-16 02:53:53",4984.63000000,0.2,-0.07,30.61000000,30.6,187510
402279344,"2026-03-13 22:48:43",sell,0.01,XAUUSD,5015.24000000,5056.65,4941.48000000,"2026-03-16 02:53:53",4984.63000000,0.2,-0.07,30.61000000,30.6,187510
402279341,"2026-03-13 22:48:40",sell,0.01,XAUUSD,5015.54000000,5070.41,4933.29000000,"2026-03-16 02:53:53",4984.63000000,0.2,-0.07,30.91000000,30.9,187513
402279339,"2026-03-13 22:48:40",sell,0.01,XAUUSD,5015.54000000,5056.67,4953.84000000,"2026-03-16 02:53:53",4984.63000000,0.2,-0.07,30.91000000,30.9,187513
402123768,"2026-03-13 18:41:20",buy,0.01,XAUUSD,5054.08000000,4960.23,5194.21000000,"2026-03-16 02:53:53",4983.95000000,-0.85,-0.07,-70.13000000,-70.1,202353
400718745,"2026-03-11 23:45:33",buy,0.01,USDJPY,158.97100000,158.37,160.45000000,"2026-03-16 02:53:53",159.55500000,0.09,-0.06,3.66000000,58.4,356900
400718744,"2026-03-11 23:45:33",buy,0.01,USDJPY,158.97100000,158.37,160.45000000,"2026-03-16 02:53:53",159.55500000,0.09,-0.06,3.66000000,58.4,356900
400718743,"2026-03-11 23:45:33",buy,0.01,USDJPY,158.97100000,158.37,160.45000000,"2026-03-16 02:53:53",159.55500000,0.09,-0.06,3.66000000,58.4,356900
400718628,"2026-03-11 23:44:59",buy,0.01,USDJPY,158.97100000,158.373,160.03700000,"2026-03-16 02:53:53",159.55500000,0.09,-0.06,3.66000000,58.4,356934
400718627,"2026-03-11 23:44:59",buy,0.01,USDJPY,158.97100000,158.373,160.03700000,"2026-03-16 02:53:53",159.55500000,0.09,-0.06,3.66000000,58.4,356934
400718626,"2026-03-11 23:44:59",buy,0.01,USDJPY,158.97100000,158.374,160.03800000,"2026-03-16 02:53:53",159.55500000,0.09,-0.06,3.66000000,58.4,356934
400718545,"2026-03-11 23:44:41",buy,0.01,USDJPY,158.97100000,158.374,159.86000000,"2026-03-16 02:53:53",159.55500000,0.09,-0.06,3.66000000,58.4,356952
400718543,"2026-03-11 23:44:41",buy,0.01,USDJPY,158.97100000,158.374,159.86000000,"2026-03-16 02:53:53",159.55500000,0.09,-0.06,3.66000000,58.4,356952
400718541,"2026-03-11 23:44:41",buy,0.01,USDJPY,158.97100000,158.374,159.86000000,"2026-03-16 02:53:53",159.55500000,0.09,-0.06,3.66000000,58.4,356952
402167548,"2026-03-13 19:36:35",sell,5.47,USDCAD,1.37345000,1.37615,1.36950000,"2026-03-16 02:53:53",1.37113000,-47.8,-27.36,925.54000000,23.2,199038
402094819,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37200000,1.36772,1.38911000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.66000000,-9.1,204206
402094810,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37200000,1.36943,1.38226000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.66000000,-9.1,204206
402094799,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37200000,1.36772,1.38483000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.66000000,-9.1,204206
402094790,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37203000,1.36944,1.37971000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.69000000,-9.4,204206
402094773,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37203000,1.36517,1.38227000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.69000000,-9.4,204206
402094762,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37200000,1.36687,1.37970000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.66000000,-9.1,204206
402094743,"2026-03-13 18:10:06",buy,0.01,USDCAD,1.37197000,1.36769,1.37839000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.64000000,-8.8,204227
402094703,"2026-03-13 18:10:06",buy,0.01,USDCAD,1.37196000,1.36854,1.37709000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.63000000,-8.7,204227
402094689,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37200000,1.36892,1.37662000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.66000000,-9.1,204206
402094670,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37200000,1.36943,1.37585000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.66000000,-9.1,204206
402094654,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37200000,1.36995,1.37508000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.66000000,-9.1,204206
402094637,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37200000,1.37029,1.37457000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.66000000,-9.1,204206
402094619,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37200000,1.36858,1.38055000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.66000000,-9.1,204206
402094590,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37203000,1.36944,1.37843000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.69000000,-9.4,204206
402094571,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37203000,1.36859,1.37885000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.69000000,-9.4,204206
402094536,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37203000,1.36944,1.37714000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.69000000,-9.4,204206
402094519,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37203000,1.36859,1.37817000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.69000000,-9.4,204206
402094511,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37200000,1.36943,1.37662000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.66000000,-9.1,204206
402094496,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37203000,1.3686,1.37715000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.69000000,-9.4,204206
402094469,"2026-03-13 18:10:27",buy,0.01,USDCAD,1.37203000,1.36945,1.37587000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,-0.69000000,-9.4,204206
401922567,"2026-03-13 15:51:11",buy,0.01,USDCAD,1.36977000,1.36637,1.38316000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,0.96000000,13.2,212562
401922562,"2026-03-13 15:51:11",buy,0.01,USDCAD,1.36977000,1.36772,1.37779000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,0.96000000,13.2,212562
401922554,"2026-03-13 15:51:10",buy,0.01,USDCAD,1.36972000,1.36635,1.37978000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,1.00000000,13.7,212563
401922545,"2026-03-13 15:51:10",buy,0.01,USDCAD,1.36970000,1.36769,1.37574000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,1.01000000,13.9,212563
401922538,"2026-03-13 15:51:10",buy,0.01,USDCAD,1.36970000,1.36433,1.37776000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,1.01000000,13.9,212563
401922516,"2026-03-13 15:51:10",buy,0.01,USDCAD,1.36972000,1.36568,1.37575000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,1.00000000,13.7,212563
401922474,"2026-03-13 15:51:08",buy,0.01,USDCAD,1.36969000,1.36632,1.37472000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,1.02000000,14,212565
401922389,"2026-03-13 15:50:12",buy,0.01,USDCAD,1.36967000,1.36698,1.37638000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,1.04000000,14.2,212621
401922372,"2026-03-13 15:50:12",buy,0.01,USDCAD,1.36967000,1.36766,1.37471000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,1.04000000,14.2,212621
401922358,"2026-03-13 15:50:10",buy,0.01,USDCAD,1.36966000,1.36696,1.37502000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,1.04000000,14.3,212623
401922302,"2026-03-13 15:50:12",buy,0.01,USDCAD,1.36967000,1.36698,1.37450000,"2026-03-16 02:53:53",1.37109000,0.01,-0.06,1.04000000,14.2,212621
402463619,"2026-03-16 00:20:38",buy,0.01,SOLUSD,88.78000000,87.31,93.23000000,"2026-03-16 02:53:53",92.03000000,0,-0.06,3.25000000,3.3,9195
402457714,"2026-03-15 22:26:53",buy,0.01,SOLUSD,88.19000000,86.83,93.63000000,"2026-03-16 02:53:53",92.03000000,0,-0.06,3.84000000,3.8,16020
402120728,"2026-03-13 18:42:06",sell,0.01,SOLUSD,89.82000000,94.28,83.18000000,"2026-03-16 02:53:53",92.06000000,-0.22,-0.06,-2.24000000,-2.2,202307
402485451,"2026-03-16 01:30:18",buy,0.01,NZDJPY,92.33800000,91.644,93.37900000,"2026-03-16 02:53:53",92.48400000,0,-0.06,0.92000000,14.6,5015
402485449,"2026-03-16 01:30:18",buy,0.01,NZDJPY,92.33800000,91.818,93.11800000,"2026-03-16 02:53:53",92.48400000,0,-0.06,0.92000000,14.6,5015
402485448,"2026-03-16 01:30:18",buy,0.01,NZDJPY,92.33800000,91.904,92.98800000,"2026-03-16 02:53:53",92.48400000,0,-0.06,0.92000000,14.6,5015
402485443,"2026-03-16 01:30:18",buy,0.01,NZDJPY,92.33800000,91.991,92.85800000,"2026-03-16 02:53:53",92.48400000,0,-0.06,0.92000000,14.6,5015
402485441,"2026-03-16 01:30:18",buy,0.01,NZDJPY,92.33800000,92.026,92.80600000,"2026-03-16 02:53:53",92.48400000,0,-0.06,0.92000000,14.6,5015
402485440,"2026-03-16 01:30:18",buy,0.01,NZDJPY,92.33800000,92.078,92.72800000,"2026-03-16 02:53:53",92.48400000,0,-0.06,0.92000000,14.6,5015
