position_id,profit,comment_exit,symbol,comment_entry,strategy
106124009,-8.56,[sl 111.444],AUDJPY,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106124012,-8.53,[sl 111.443],AUDJPY,LHN_ALFA_A28R15_,LHN_ALFA_A28R15_
106124014,-8.53,[sl 111.442],AUDJPY,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106124013,-8.53,[sl 111.442],AUDJPY,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106124020,-8.53,[sl 111.442],AUDJPY,LHN_ALFA_A28R15_,LHN_ALFA_A28R15_
106124027,-8.53,[sl 111.442],AUDJPY,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106124041,-8.56,[sl 111.443],AUDJPY,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106124028,-8.53,[sl 111.442],AUDJPY,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106124011,-8.53,[sl 111.443],AUDJPY,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106124010,-8.56,[sl 111.444],AUDJPY,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106124026,-8.53,[sl 111.442],AUDJPY,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106124043,-8.59,[sl 111.440],AUDJPY,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106124045,-8.59,[sl 111.440],AUDJPY,LHN_ALFA_A28R15_,LHN_ALFA_A28R15_
106124044,-8.59,[sl 111.440],AUDJPY,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106124054,-8.72,[sl 111.435],AUDJPY,LHN_EXPL_A20R30_,LHN_EXPL_A20R30_
106124056,-8.72,[sl 111.436],AUDJPY,LHN_EXPL_A25R30_,LHN_EXPL_A25R30_
106124051,-8.72,[sl 111.436],AUDJPY,LHN_EXPL_A28R20_,LHN_EXPL_A28R20_
106124053,-8.72,[sl 111.435],AUDJPY,LHN_EXPL_A15R30_,LHN_EXPL_A15R30_
106124046,-8.72,[sl 111.438],AUDJPY,LHN_EXPL_A15R20_,LHN_EXPL_A15R20_
106124057,-8.5,[sl 111.434],AUDJPY,LHN_EXPL_A28R30_,LHN_EXPL_A28R30_
106124050,-8.5,[sl 111.434],AUDJPY,LHN_EXPL_A25R20_,LHN_EXPL_A25R20_
106124047,-8.5,[sl 111.432],AUDJPY,LHN_EXPL_A20R20_,LHN_EXPL_A20R20_
106121980,-6.98,[sl 93.420],NZDJPY,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106121972,-6.88,[sl 93.418],NZDJPY,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106122105,-6.88,[sl 93.417],NZDJPY,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106122106,-6.88,[sl 93.414],NZDJPY,LHN_EXPL_A15R20_,LHN_EXPL_A15R20_
106122102,-6.95,[sl 93.416],NZDJPY,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106122112,-6.88,[sl 93.414],NZDJPY,LHN_EXPL_A15R30_,LHN_EXPL_A15R30_
106122108,-6.88,[sl 93.414],NZDJPY,LHN_EXPL_A20R20_,LHN_EXPL_A20R20_
