time,pnl_r,type,symbol,regime,dollar_pnl,balance,dd
2025-11-14 06:10:00,-1.0,SNIPER,NZDUSD,TRENDING,-48.5,9651.5,0.0
2025-11-14 06:30:00,2.0,SNIPER,EURUSD,TRENDING,97.0,9748.5,0.0
2025-11-14 06:50:00,2.0,SNIPER,EURJPY,TRENDING,97.0,9845.5,0.0
2025-11-14 07:05:00,2.0,SNIPER,AUDNZD,TRENDING,97.0,9942.5,0.0
2025-11-14 07:05:00,-1.0,SNIPER,EURGBP,TRENDING,-48.5,9894.0,-0.4878048780487805
2025-11-14 07:05:00,-1.0,SNIPER,GBPUSD,TRENDING,-48.5,9845.5,-0.975609756097561
2025-11-14 07:20:00,-1.0,SNIPER,USDCAD,TRENDING,-48.5,9797.0,-1.4634146341463417
2025-11-14 07:20:00,2.0,SNIPER,CADCHF,TRENDING,97.0,9894.0,-0.4878048780487805
2025-11-14 07:25:00,2.0,SNIPER,AUDUSD,TRENDING,97.0,9991.0,0.0
2025-11-14 08:15:00,-1.0,SNIPER,NZDUSD,TRENDING,-48.5,9942.5,-0.48543689320388345
2025-11-14 08:40:00,2.0,SNIPER,AUDJPY,TRENDING,97.0,10039.5,0.0
2025-11-14 09:20:00,-1.0,SNIPER,EURUSD,TRENDING,-48.5,9991.0,-0.4830917874396135
2025-11-14 09:30:00,2.0,SNIPER,EURGBP,TRENDING,97.0,10088.0,0.0
2025-11-14 09:50:00,2.0,SNIPER,AUDUSD,TRENDING,97.0,10185.0,0.0
2025-11-14 10:35:00,-1.0,SNIPER,USDCAD,TRENDING,-48.5,10136.5,-0.4761904761904762
2025-11-14 10:45:00,-1.0,SNIPER,CADCHF,TRENDING,-48.5,10088.0,-0.9523809523809524
2025-11-14 11:20:00,-1.0,SNIPER,GBPCAD,TRENDING,-48.5,10039.5,-1.4285714285714286
2025-11-14 11:25:00,-1.0,SNIPER,GBPUSD,TRENDING,-48.5,9991.0,-1.9047619047619049
2025-11-14 11:35:00,-1.0,SNIPER,GBPJPY,TRENDING,-48.5,9942.5,-2.380952380952381
2025-11-14 12:10:00,2.0,SNIPER,AUDNZD,TRENDING,97.0,10039.5,-1.4285714285714286
2025-11-14 12:15:00,-1.0,SNIPER,NZDUSD,TRENDING,-48.5,9991.0,-1.9047619047619049
2025-11-14 12:15:00,-1.0,SNIPER,EURGBP,TRENDING,-48.5,9942.5,-2.380952380952381
2025-11-14 13:05:00,-1.0,CHAMPION,AUDJPY,CALM_RANGE,-121.25,9821.25,-3.571428571428571
2025-11-14 13:10:00,2.5,CHAMPION,EURGBP,CALM_RANGE,303.125,10124.375,-0.5952380952380952
2025-11-14 13:15:00,-1.0,SNIPER,USDJPY,TRENDING,-48.5,10075.875,-1.0714285714285714
2025-11-14 13:25:00,-1.0,SNIPER,USDCAD,TRENDING,-48.5,10027.375,-1.5476190476190477
2025-11-14 13:35:00,-1.0,SNIPER,EURUSD,TRENDING,-48.5,9978.875,-2.0238095238095237
2025-11-14 13:40:00,2.0,SNIPER,EURJPY,TRENDING,97.0,10075.875,-1.0714285714285714
2025-11-14 13:40:00,-1.0,SNIPER,GBPCAD,TRENDING,-48.5,10027.375,-1.5476190476190477
2025-11-14 13:55:00,-1.0,SNIPER,GBPUSD,TRENDING,-48.5,9978.875,-2.0238095238095237
2025-11-14 14:00:00,-1.0,SNIPER,AUDUSD,TRENDING,-48.5,9930.375,-2.5
2025-11-14 14:20:00,-1.0,SNIPER,AUDNZD,TRENDING,-48.5,9881.875,-2.976190476190476
2025-11-14 14:25:00,2.0,SNIPER,NZDUSD,TRENDING,97.0,9978.875,-2.0238095238095237
2025-11-14 15:30:00,-1.0,SNIPER,CADCHF,TRENDING,-48.5,9930.375,-2.5
2025-11-14 15:40:00,-1.0,SNIPER,EURUSD,TRENDING,-48.5,9881.875,-2.976190476190476
2025-11-14 15:40:00,-1.0,SNIPER,USDCAD,TRENDING,-48.5,9833.375,-3.4523809523809526
2025-11-14 15:45:00,-1.0,SNIPER,USDJPY,TRENDING,-48.5,9784.875,-3.9285714285714284
2025-11-14 15:50:00,-1.0,SNIPER,AUDJPY,TRENDING,-48.5,9736.375,-4.404761904761905
2025-11-14 15:50:00,-1.0,SNIPER,GBPJPY,TRENDING,-48.5,9687.875,-4.880952380952381
2025-11-14 15:50:00,-1.0,SNIPER,EURJPY,TRENDING,-48.5,9639.375,-5.357142857142857
2025-11-14 16:00:00,-1.0,SNIPER,GBPUSD,TRENDING,-48.5,9590.875,-5.833333333333333
2025-11-14 17:00:00,-1.0,SNIPER,EURGBP,TRENDING,-48.5,9542.375,-6.309523809523809
2025-11-14 17:55:00,-1.0,SNIPER,GBPJPY,TRENDING,-48.5,9493.875,-6.785714285714286
2025-11-17 06:00:00,-1.0,SNIPER,AUDUSD,TRENDING,-48.5,9445.375,-7.261904761904763
2025-11-17 06:00:00,-1.0,SNIPER,GBPUSD,TRENDING,-48.5,9396.875,-7.738095238095238
2025-11-17 06:20:00,-1.0,SNIPER,USDCAD,TRENDING,-48.5,9348.375,-8.214285714285714
2025-11-17 06:25:00,-1.0,SNIPER,EURUSD,TRENDING,-48.5,9299.875,-8.69047619047619
2025-11-17 06:30:00,-1.0,SNIPER,EURGBP,TRENDING,-48.5,9251.375,-9.166666666666666
2025-11-17 06:35:00,-1.0,SNIPER,CADCHF,TRENDING,-48.5,9202.875,-9.642857142857144
2025-11-17 06:35:00,2.0,SNIPER,GBPCAD,TRENDING,97.0,9299.875,-8.69047619047619
2025-11-17 06:55:00,-1.0,SNIPER,EURJPY,TRENDING,-48.5,9251.375,-9.166666666666666
2025-11-17 06:55:00,-1.0,SNIPER,AUDNZD,TRENDING,-48.5,9202.875,-9.642857142857144
2025-11-17 07:25:00,-1.0,SNIPER,AUDJPY,TRENDING,-48.5,9154.375,-10.119047619047619
2025-11-17 08:20:00,-1.0,SNIPER,AUDUSD,TRENDING,-48.5,9105.875,-10.595238095238095
2025-11-17 08:25:00,-1.0,SNIPER,EURUSD,TRENDING,-48.5,9057.375,-11.071428571428571
2025-11-17 08:25:00,-1.0,SNIPER,NZDUSD,TRENDING,-48.5,9008.875,-11.547619047619047
2025-11-17 08:30:00,-1.0,SNIPER,GBPUSD,TRENDING,-48.5,8960.375,-12.023809523809524
2025-11-17 08:35:00,-1.0,SNIPER,GBPCAD,TRENDING,-48.5,8911.875,-12.5
2025-11-17 08:35:00,-1.0,SNIPER,USDJPY,TRENDING,-48.5,8863.375,-12.976190476190478
2025-11-17 08:40:00,-1.0,SNIPER,EURGBP,TRENDING,-48.5,8814.875,-13.452380952380953
