time,pnl_r,type,symbol,regime,dollar_pnl,balance,dd
2025-11-14 06:00:00,1.5,SNIPER,AUDJPY,UNKNOWN,72.75,9772.75,0.0
2025-11-14 06:00:00,-1.0,SNIPER,NZDUSD,UNKNOWN,-48.5,9724.25,-0.49627791563275436
2025-11-14 06:05:00,-1.0,SNIPER,EURUSD,UNKNOWN,-48.5,9675.75,-0.9925558312655087
2025-11-14 06:50:00,-1.0,SNIPER,EURJPY,UNKNOWN,-48.5,9627.25,-1.488833746898263
2025-11-14 06:50:00,-1.0,SNIPER,USDJPY,UNKNOWN,-48.5,9578.75,-1.9851116625310175
2025-11-14 07:05:00,-1.0,SNIPER,EURGBP,UNKNOWN,-48.5,9530.25,-2.481389578163772
2025-11-14 07:05:00,-1.0,SNIPER,GBPUSD,UNKNOWN,-48.5,9481.75,-2.977667493796526
2025-11-14 07:05:00,-1.0,SNIPER,AUDNZD,UNKNOWN,-48.5,9433.25,-3.4739454094292808
2025-11-14 07:20:00,-1.0,SNIPER,CADCHF,UNKNOWN,-48.5,9384.75,-3.970223325062035
2025-11-14 07:20:00,1.5,SNIPER,USDCAD,UNKNOWN,72.75,9457.5,-3.225806451612903
2025-11-14 07:25:00,-1.0,SNIPER,AUDUSD,UNKNOWN,-48.5,9409.0,-3.722084367245657
2025-11-14 07:25:00,1.5,SNIPER,GBPJPY,UNKNOWN,72.75,9481.75,-2.977667493796526
2025-11-14 07:35:00,-1.0,SNIPER,GBPCAD,UNKNOWN,-48.5,9433.25,-3.4739454094292808
2025-11-14 08:15:00,1.5,SNIPER,NZDUSD,UNKNOWN,72.75,9506.0,-2.729528535980149
2025-11-14 08:30:00,1.5,SNIPER,AUDJPY,UNKNOWN,72.75,9578.75,-1.9851116625310175
2025-11-14 09:05:00,-1.0,SNIPER,EURUSD,UNKNOWN,-48.5,9530.25,-2.481389578163772
2025-11-14 09:10:00,-1.0,SNIPER,USDJPY,UNKNOWN,-48.5,9481.75,-2.977667493796526
2025-11-14 09:15:00,-1.0,SNIPER,AUDNZD,UNKNOWN,-48.5,9433.25,-3.4739454094292808
2025-11-14 09:20:00,2.5,CHAMPION,GBPJPY,UNKNOWN,303.125,9736.375,-0.37220843672456577
2025-11-14 09:30:00,-1.0,SNIPER,EURGBP,UNKNOWN,-48.5,9687.875,-0.8684863523573202
2025-11-14 09:30:00,-1.0,SNIPER,GBPJPY,UNKNOWN,-48.5,9639.375,-1.3647642679900744
2025-11-14 09:50:00,-1.0,SNIPER,AUDUSD,UNKNOWN,-48.5,9590.875,-1.8610421836228286
2025-11-14 10:10:00,2.5,CHAMPION,CADCHF,UNKNOWN,303.125,9894.0,0.0
2025-11-14 10:35:00,-1.0,SNIPER,NZDUSD,UNKNOWN,-48.5,9845.5,-0.49019607843137253
2025-11-14 10:35:00,-1.0,SNIPER,USDCAD,UNKNOWN,-48.5,9797.0,-0.9803921568627451
2025-11-14 10:35:00,-1.0,SNIPER,EURJPY,UNKNOWN,-48.5,9748.5,-1.4705882352941175
2025-11-14 10:45:00,1.5,SNIPER,CADCHF,UNKNOWN,72.75,9821.25,-0.7352941176470588
2025-11-14 11:20:00,1.5,SNIPER,GBPCAD,UNKNOWN,72.75,9894.0,0.0
2025-11-14 11:25:00,-1.0,SNIPER,GBPUSD,UNKNOWN,-48.5,9845.5,-0.49019607843137253
2025-11-14 11:35:00,1.5,SNIPER,GBPJPY,UNKNOWN,72.75,9918.25,0.0
2025-11-14 11:50:00,-1.0,SNIPER,EURGBP,UNKNOWN,-48.5,9869.75,-0.4889975550122249
2025-11-14 12:10:00,-1.0,SNIPER,AUDNZD,UNKNOWN,-48.5,9821.25,-0.9779951100244498
2025-11-14 12:15:00,1.5,SNIPER,AUDUSD,UNKNOWN,72.75,9894.0,-0.24449877750611246
2025-11-14 12:50:00,1.5,SNIPER,NZDUSD,UNKNOWN,72.75,9966.75,0.0
2025-11-14 12:55:00,-1.0,SNIPER,EURJPY,UNKNOWN,-48.5,9918.25,-0.48661800486618007
2025-11-14 13:05:00,-1.0,CHAMPION,AUDJPY,UNKNOWN,-121.25,9797.0,-1.70316301703163
2025-11-14 13:10:00,-1.0,CHAMPION,AUDNZD,UNKNOWN,-121.25,9675.75,-2.9197080291970803
2025-11-14 13:10:00,-1.0,CHAMPION,AUDJPY,UNKNOWN,-121.25,9554.5,-4.13625304136253
2025-11-14 13:10:00,2.5,CHAMPION,GBPCAD,UNKNOWN,303.125,9857.625,-1.094890510948905
2025-11-14 13:10:00,2.5,CHAMPION,EURGBP,UNKNOWN,303.125,10160.75,0.0
2025-11-14 13:10:00,-1.0,CHAMPION,GBPJPY,UNKNOWN,-121.25,10039.5,-1.1933174224343674
2025-11-14 13:10:00,2.5,CHAMPION,GBPUSD,UNKNOWN,303.125,10342.625,0.0
2025-11-14 13:10:00,-1.0,CHAMPION,AUDUSD,UNKNOWN,-121.25,10221.375,-1.1723329425556859
2025-11-14 13:15:00,-1.0,CHAMPION,AUDJPY,UNKNOWN,-121.25,10100.125,-2.3446658851113718
2025-11-14 13:15:00,-1.0,CHAMPION,AUDNZD,UNKNOWN,-121.25,9978.875,-3.5169988276670576
2025-11-14 13:15:00,1.5,SNIPER,USDJPY,UNKNOWN,72.75,10051.625,-2.813599062133646
2025-11-14 13:25:00,-1.0,SNIPER,USDCAD,UNKNOWN,-48.5,10003.125,-3.2825322391559206
2025-11-14 13:35:00,1.5,SNIPER,EURUSD,UNKNOWN,72.75,10075.875,-2.5791324736225087
2025-11-14 13:40:00,1.5,SNIPER,GBPCAD,UNKNOWN,72.75,10148.625,-1.875732708089097
2025-11-14 13:55:00,1.5,SNIPER,GBPUSD,UNKNOWN,72.75,10221.375,-1.1723329425556859
