symbol,time,pnl_r,dollar_pnl,balance
AUDJPY,2025-11-13 06:05:00,2.4,120.0,10120.0
EURJPY,2025-11-13 06:20:00,-1.1,-55.00000000000001,10065.0
NZDUSD,2025-11-13 07:55:00,-1.1,-55.00000000000001,10010.0
AUDNZD,2025-11-13 07:55:00,-1.1,-55.00000000000001,9955.0
NZDUSD,2025-11-13 08:30:00,2.4,120.0,10075.0
AUDNZD,2025-11-13 08:30:00,2.4,120.0,10195.0
GBPJPY,2025-11-13 09:00:00,2.4,120.0,10315.0
EURGBP,2025-11-13 09:00:00,2.4,120.0,10435.0
GBPCAD,2025-11-13 09:00:00,2.4,120.0,10555.0
CADCHF,2025-11-13 09:00:00,-1.1,-55.00000000000001,10500.0
AUDUSD,2025-11-13 09:10:00,-1.1,-55.00000000000001,10445.0
AUDJPY,2025-11-13 09:10:00,-1.1,-55.00000000000001,10390.0
AUDUSD,2025-11-13 09:15:00,-1.1,-55.00000000000001,10335.0
AUDJPY,2025-11-13 09:20:00,2.4,120.0,10455.0
AUDUSD,2025-11-13 09:20:00,-1.1,-55.00000000000001,10400.0
EURUSD,2025-11-13 09:20:00,-1.1,-55.00000000000001,10345.0
AUDUSD,2025-11-13 09:25:00,-1.1,-55.00000000000001,10290.0
EURUSD,2025-11-13 09:25:00,-1.1,-55.00000000000001,10235.0
EURUSD,2025-11-13 09:30:00,-1.1,-55.00000000000001,10180.0
USDJPY,2025-11-13 09:35:00,-1.1,-55.00000000000001,10125.0
USDCAD,2025-11-13 09:35:00,-1.1,-55.00000000000001,10070.0
EURUSD,2025-11-13 09:35:00,-1.1,-55.00000000000001,10015.0
EURJPY,2025-11-13 09:40:00,-1.1,-55.00000000000001,9960.0
CADCHF,2025-11-13 09:40:00,-1.1,-55.00000000000001,9905.0
GBPUSD,2025-11-13 10:55:00,-1.1,-55.00000000000001,9850.0
GBPUSD,2025-11-13 14:35:00,-1.1,-55.00000000000001,9795.0
EURGBP,2025-11-13 14:35:00,2.4,120.0,9915.0
GBPCAD,2025-11-13 14:35:00,-1.1,-55.00000000000001,9860.0
GBPCAD,2025-11-13 14:40:00,-1.1,-55.00000000000001,9805.0
AUDJPY,2025-11-13 15:00:00,-1.1,-55.00000000000001,9750.0
AUDJPY,2025-11-13 15:05:00,-1.1,-55.00000000000001,9695.0
AUDUSD,2025-11-13 15:30:00,-1.1,-55.00000000000001,9640.0
USDJPY,2025-11-13 16:35:00,-1.1,-55.00000000000001,9585.0
AUDJPY,2025-11-13 16:35:00,-1.1,-55.00000000000001,9530.0
AUDNZD,2025-11-13 16:35:00,-1.1,-55.00000000000001,9475.0
GBPJPY,2025-11-13 16:35:00,2.4,120.0,9595.0
CADCHF,2025-11-13 16:35:00,-1.1,-55.00000000000001,9540.0
AUDJPY,2025-11-13 16:40:00,-1.1,-55.00000000000001,9485.0
AUDNZD,2025-11-13 16:40:00,-1.1,-55.00000000000001,9430.0
CADCHF,2025-11-13 16:40:00,-1.1,-55.00000000000001,9375.0
GBPCAD,2025-11-13 16:55:00,-1.1,-55.00000000000001,9320.0
NZDUSD,2025-11-13 17:20:00,2.4,120.0,9440.0
EURGBP,2025-11-14 08:20:00,2.4,120.0,9560.0
USDJPY,2025-11-14 08:45:00,2.4,120.0,9680.0
AUDUSD,2025-11-14 08:45:00,-1.1,-55.00000000000001,9625.0
AUDJPY,2025-11-14 09:10:00,-1.1,-55.00000000000001,9570.0
CADCHF,2025-11-14 09:15:00,-1.1,-55.00000000000001,9515.0
AUDJPY,2025-11-14 09:15:00,-1.1,-55.00000000000001,9460.0
GBPJPY,2025-11-14 09:20:00,2.4,120.0,9580.0
GBPUSD,2025-11-14 09:25:00,2.4,120.0,9700.0
CADCHF,2025-11-14 10:10:00,2.4,120.0,9820.0
EURJPY,2025-11-14 10:15:00,-1.1,-55.00000000000001,9765.0
EURJPY,2025-11-14 10:20:00,-1.1,-55.00000000000001,9710.0
EURGBP,2025-11-14 10:40:00,-1.1,-55.00000000000001,9655.0
USDCAD,2025-11-14 12:30:00,-1.1,-55.00000000000001,9600.0
AUDUSD,2025-11-14 13:05:00,-1.1,-55.00000000000001,9545.0
AUDJPY,2025-11-14 13:05:00,-1.1,-55.00000000000001,9490.0
AUDJPY,2025-11-14 13:10:00,-1.1,-55.00000000000001,9435.0
GBPJPY,2025-11-14 13:10:00,-1.1,-55.00000000000001,9380.0
AUDNZD,2025-11-14 13:10:00,-1.1,-55.00000000000001,9325.0
AUDUSD,2025-11-14 13:10:00,-1.1,-55.00000000000001,9270.0
EURGBP,2025-11-14 13:10:00,2.4,120.0,9390.0
GBPUSD,2025-11-14 13:10:00,2.4,120.0,9510.0
GBPCAD,2025-11-14 13:10:00,2.4,120.0,9630.0
EURJPY,2025-11-14 13:15:00,-1.1,-55.00000000000001,9575.0
AUDNZD,2025-11-14 13:15:00,-1.1,-55.00000000000001,9520.0
AUDJPY,2025-11-14 13:15:00,-1.1,-55.00000000000001,9465.0
CADCHF,2025-11-14 13:55:00,-1.1,-55.00000000000001,9410.0
CADCHF,2025-11-14 14:00:00,-1.1,-55.00000000000001,9355.0
EURUSD,2025-11-14 14:05:00,-1.1,-55.00000000000001,9300.0
USDJPY,2025-11-14 14:05:00,-1.1,-55.00000000000001,9245.0
CADCHF,2025-11-14 14:05:00,-1.1,-55.00000000000001,9190.0
CADCHF,2025-11-14 14:10:00,-1.1,-55.00000000000001,9135.0
EURUSD,2025-11-14 14:10:00,-1.1,-55.00000000000001,9080.0
USDJPY,2025-11-14 14:10:00,-1.1,-55.00000000000001,9025.0
USDJPY,2025-11-14 14:15:00,-1.1,-55.00000000000001,8970.0
EURJPY,2025-11-14 14:20:00,-1.1,-55.00000000000001,8915.0
USDJPY,2025-11-14 14:20:00,-1.1,-55.00000000000001,8860.0
EURJPY,2025-11-14 14:35:00,-1.1,-55.00000000000001,8805.0
GBPUSD,2025-11-14 14:40:00,-1.1,-55.00000000000001,8750.0
AUDUSD,2025-11-14 14:40:00,-1.1,-55.00000000000001,8695.0
AUDUSD,2025-11-14 14:45:00,-1.1,-55.00000000000001,8640.0
USDCAD,2025-11-14 14:45:00,-1.1,-55.00000000000001,8585.0
USDCAD,2025-11-14 14:50:00,-1.1,-55.00000000000001,8530.0
AUDUSD,2025-11-14 14:50:00,-1.1,-55.00000000000001,8475.0
AUDUSD,2025-11-14 14:55:00,-1.1,-55.00000000000001,8420.0
EURGBP,2025-11-14 16:20:00,-1.1,-55.00000000000001,8365.0
GBPCAD,2025-11-14 17:35:00,2.4,120.0,8485.0
AUDNZD,2025-11-14 17:55:00,2.4,120.0,8605.0
EURGBP,2025-11-17 07:45:00,-1.1,-55.00000000000001,8550.0
GBPCAD,2025-11-17 07:45:00,-1.1,-55.00000000000001,8495.0
GBPCAD,2025-11-17 07:50:00,-1.1,-55.00000000000001,8440.0
EURGBP,2025-11-17 07:50:00,-1.1,-55.00000000000001,8385.0
EURGBP,2025-11-17 07:55:00,-1.1,-55.00000000000001,8330.0
GBPUSD,2025-11-17 08:05:00,2.4,120.0,8450.0
CADCHF,2025-11-17 08:05:00,2.4,120.0,8570.0
USDJPY,2025-11-17 08:05:00,2.4,120.0,8690.0
EURUSD,2025-11-17 08:05:00,2.4,120.0,8810.0
GBPJPY,2025-11-17 09:05:00,-1.1,-55.00000000000001,8755.0
GBPJPY,2025-11-17 09:10:00,-1.1,-55.00000000000001,8700.0
AUDJPY,2025-11-17 09:15:00,-1.1,-55.00000000000001,8645.0
GBPJPY,2025-11-17 09:15:00,-1.1,-55.00000000000001,8590.0
AUDJPY,2025-11-17 09:20:00,-1.1,-55.00000000000001,8535.0
EURGBP,2025-11-17 09:20:00,-1.1,-55.00000000000001,8480.0
GBPJPY,2025-11-17 09:20:00,-1.1,-55.00000000000001,8425.0
GBPCAD,2025-11-17 09:20:00,-1.1,-55.00000000000001,8370.0
GBPCAD,2025-11-17 09:25:00,2.4,120.0,8490.0
EURGBP,2025-11-17 09:25:00,-1.1,-55.00000000000001,8435.0
USDCAD,2025-11-17 09:40:00,2.4,120.0,8555.0
AUDJPY,2025-11-17 10:50:00,-1.1,-55.00000000000001,8500.0
AUDNZD,2025-11-17 11:15:00,2.4,120.0,8620.0
NZDUSD,2025-11-17 12:50:00,-1.1,-55.00000000000001,8565.0
AUDUSD,2025-11-17 12:50:00,2.4,120.0,8685.0
AUDJPY,2025-11-17 12:50:00,2.4,120.0,8805.0
GBPUSD,2025-11-17 12:50:00,2.4,120.0,8925.0
USDJPY,2025-11-17 12:50:00,-1.1,-55.00000000000001,8870.0
AUDUSD,2025-11-17 12:55:00,2.4,120.0,8990.0
NZDUSD,2025-11-17 12:55:00,2.4,120.0,9110.0
GBPCAD,2025-11-17 13:55:00,-1.1,-55.00000000000001,9055.0
GBPCAD,2025-11-17 16:55:00,-1.1,-55.00000000000001,9000.0
EURJPY,2025-11-17 17:00:00,-1.1,-55.00000000000001,8945.0
USDJPY,2025-11-17 17:00:00,-1.1,-55.00000000000001,8890.0
USDJPY,2025-11-17 17:05:00,-1.1,-55.00000000000001,8835.0
EURJPY,2025-11-17 17:05:00,-1.1,-55.00000000000001,8780.0
USDJPY,2025-11-17 17:10:00,-1.1,-55.00000000000001,8725.0
EURJPY,2025-11-17 17:10:00,-1.1,-55.00000000000001,8670.0
GBPJPY,2025-11-17 17:10:00,2.4,120.0,8790.0
CADCHF,2025-11-17 17:40:00,2.4,120.0,8910.0
AUDNZD,2025-11-17 17:55:00,-1.1,-55.00000000000001,8855.0
GBPUSD,2025-11-18 06:05:00,2.4,120.0,8975.0
EURJPY,2025-11-18 06:10:00,-1.1,-55.00000000000001,8920.0
GBPJPY,2025-11-18 06:10:00,-1.1,-55.00000000000001,8865.0
NZDUSD,2025-11-18 06:10:00,2.4,120.0,8985.0
EURJPY,2025-11-18 06:15:00,-1.1,-55.00000000000001,8930.0
USDJPY,2025-11-18 06:15:00,-1.1,-55.00000000000001,8875.0
CADCHF,2025-11-18 06:15:00,-1.1,-55.00000000000001,8820.0
GBPJPY,2025-11-18 06:15:00,-1.1,-55.00000000000001,8765.0
AUDJPY,2025-11-18 06:15:00,2.4,120.0,8885.0
CADCHF,2025-11-18 06:20:00,2.4,120.0,9005.0
EURUSD,2025-11-18 06:20:00,2.4,120.0,9125.0
USDJPY,2025-11-18 06:20:00,2.4,120.0,9245.0
GBPCAD,2025-11-18 06:20:00,2.4,120.0,9365.0
EURJPY,2025-11-18 06:20:00,2.4,120.0,9485.0
EURUSD,2025-11-18 06:25:00,2.4,120.0,9605.0
GBPCAD,2025-11-18 06:25:00,2.4,120.0,9725.0
USDJPY,2025-11-18 06:25:00,2.4,120.0,9845.0
GBPJPY,2025-11-18 08:30:00,-1.1,-55.00000000000001,9790.0
