symbol,time,pnl_r,is_winner,dollar_pnl,balance
NZDUSD,2025-11-13 02:30:00,-1.0,False,-2500.0,197500.0
GBPCAD,2025-11-13 02:30:00,-1.0,False,-2500.0,195000.0
NZDUSD,2025-11-13 02:35:00,-1.0,False,-2500.0,192500.0
NZDUSD,2025-11-13 02:40:00,-1.0,False,-2500.0,190000.0
AUDNZD,2025-11-13 02:40:00,-1.0,False,-2500.0,187500.0
NZDUSD,2025-11-13 02:45:00,2.5,True,6250.0,193750.0
AUDJPY,2025-11-13 06:05:00,2.5,True,6250.0,200000.0
AUDNZD,2025-11-13 07:55:00,-1.0,False,-2500.0,197500.0
AUDNZD,2025-11-13 08:30:00,2.5,True,6250.0,203750.0
NZDUSD,2025-11-13 08:30:00,2.5,True,6250.0,210000.0
GBPJPY,2025-11-13 09:00:00,2.5,True,6250.0,216250.0
CADCHF,2025-11-13 09:00:00,-1.0,False,-2500.0,213750.0
EURGBP,2025-11-13 09:00:00,2.5,True,6250.0,220000.0
AUDJPY,2025-11-13 09:20:00,2.5,True,6250.0,226250.0
AUDUSD,2025-11-13 09:20:00,-1.0,False,-2500.0,223750.0
AUDUSD,2025-11-13 09:25:00,-1.0,False,-2500.0,221250.0
EURUSD,2025-11-13 09:30:00,-1.0,False,-2500.0,218750.0
EURUSD,2025-11-13 09:35:00,-1.0,False,-2500.0,216250.0
USDJPY,2025-11-13 09:35:00,-1.0,False,-2500.0,213750.0
CADCHF,2025-11-13 09:40:00,-1.0,False,-2500.0,211250.0
EURGBP,2025-11-13 14:35:00,2.5,True,6250.0,217500.0
GBPCAD,2025-11-13 14:40:00,-1.0,False,-2500.0,215000.0
AUDJPY,2025-11-13 15:05:00,-1.0,False,-2500.0,212500.0
GBPJPY,2025-11-13 16:35:00,2.5,True,6250.0,218750.0
AUDNZD,2025-11-13 16:35:00,-1.0,False,-2500.0,216250.0
AUDJPY,2025-11-13 16:35:00,-1.0,False,-2500.0,213750.0
AUDNZD,2025-11-13 16:40:00,-1.0,False,-2500.0,211250.0
AUDJPY,2025-11-13 16:40:00,-1.0,False,-2500.0,208750.0
GBPJPY,2025-11-13 18:55:00,2.5,True,6250.0,215000.0
GBPUSD,2025-11-13 18:55:00,2.5,True,6250.0,221250.0
AUDUSD,2025-11-13 20:25:00,-1.0,False,-2500.0,218750.0
NZDUSD,2025-11-13 20:30:00,-1.0,False,-2500.0,216250.0
AUDUSD,2025-11-13 20:30:00,2.5,True,6250.0,222500.0
AUDJPY,2025-11-13 20:30:00,2.5,True,6250.0,228750.0
AUDNZD,2025-11-13 20:30:00,2.5,True,6250.0,235000.0
AUDJPY,2025-11-13 20:35:00,2.5,True,6250.0,241250.0
NZDUSD,2025-11-13 20:35:00,-1.0,False,-2500.0,238750.0
AUDUSD,2025-11-13 20:35:00,2.5,True,6250.0,245000.0
EURGBP,2025-11-14 00:05:00,-1.0,False,-2500.0,242500.0
NZDUSD,2025-11-14 00:05:00,2.5,True,6250.0,248750.0
EURGBP,2025-11-14 00:10:00,-1.0,False,-2500.0,246250.0
EURGBP,2025-11-14 00:15:00,2.5,True,6250.0,252500.0
GBPJPY,2025-11-14 00:45:00,-1.0,False,-2500.0,250000.0
GBPUSD,2025-11-14 00:45:00,-1.0,False,-2500.0,247500.0
GBPJPY,2025-11-14 00:50:00,-1.0,False,-2500.0,245000.0
GBPCAD,2025-11-14 00:50:00,-1.0,False,-2500.0,242500.0
GBPUSD,2025-11-14 00:50:00,-1.0,False,-2500.0,240000.0
GBPJPY,2025-11-14 00:55:00,-1.0,False,-2500.0,237500.0
GBPUSD,2025-11-14 00:55:00,-1.0,False,-2500.0,235000.0
GBPCAD,2025-11-14 00:55:00,-1.0,False,-2500.0,232500.0
EURUSD,2025-11-14 01:10:00,-1.0,False,-2500.0,230000.0
USDCAD,2025-11-14 02:00:00,2.5,True,6250.0,236250.0
USDCAD,2025-11-14 02:05:00,2.5,True,6250.0,242500.0
EURJPY,2025-11-14 02:05:00,2.5,True,6250.0,248750.0
EURUSD,2025-11-14 05:30:00,-1.0,False,-2500.0,246250.0
GBPJPY,2025-11-14 09:20:00,2.5,True,6250.0,252500.0
CADCHF,2025-11-14 10:10:00,2.5,True,6250.0,258750.0
AUDJPY,2025-11-14 13:05:00,-1.0,False,-2500.0,256250.0
GBPJPY,2025-11-14 13:10:00,-1.0,False,-2500.0,253750.0
EURGBP,2025-11-14 13:10:00,2.5,True,6250.0,260000.0
AUDUSD,2025-11-14 13:10:00,-1.0,False,-2500.0,257500.0
GBPUSD,2025-11-14 13:10:00,2.5,True,6250.0,263750.0
AUDNZD,2025-11-14 13:10:00,-1.0,False,-2500.0,261250.0
AUDJPY,2025-11-14 13:10:00,-1.0,False,-2500.0,258750.0
GBPCAD,2025-11-14 13:10:00,2.5,True,6250.0,265000.0
AUDJPY,2025-11-14 13:15:00,-1.0,False,-2500.0,262500.0
AUDNZD,2025-11-14 13:15:00,-1.0,False,-2500.0,260000.0
CADCHF,2025-11-14 14:05:00,-1.0,False,-2500.0,257500.0
USDJPY,2025-11-14 14:05:00,-1.0,False,-2500.0,255000.0
CADCHF,2025-11-14 14:10:00,-1.0,False,-2500.0,252500.0
USDJPY,2025-11-14 14:10:00,-1.0,False,-2500.0,250000.0
USDJPY,2025-11-14 14:15:00,-1.0,False,-2500.0,247500.0
USDJPY,2025-11-14 14:20:00,-1.0,False,-2500.0,245000.0
EURJPY,2025-11-14 14:35:00,-1.0,False,-2500.0,242500.0
GBPUSD,2025-11-14 14:40:00,-1.0,False,-2500.0,240000.0
AUDUSD,2025-11-14 14:45:00,-1.0,False,-2500.0,237500.0
AUDUSD,2025-11-14 14:50:00,-1.0,False,-2500.0,235000.0
USDCAD,2025-11-14 14:50:00,-1.0,False,-2500.0,232500.0
AUDUSD,2025-11-14 14:55:00,-1.0,False,-2500.0,230000.0
AUDNZD,2025-11-14 17:55:00,2.5,True,6250.0,236250.0
AUDUSD,2025-11-14 20:00:00,-1.0,False,-2500.0,233750.0
AUDJPY,2025-11-14 20:00:00,-1.0,False,-2500.0,231250.0
EURGBP,2025-11-14 23:40:00,2.5,True,6250.0,237500.0
EURJPY,2025-11-17 02:15:00,2.5,True,6250.0,243750.0
GBPCAD,2025-11-17 07:45:00,-1.0,False,-2500.0,241250.0
GBPCAD,2025-11-17 07:50:00,-1.0,False,-2500.0,238750.0
EURGBP,2025-11-17 07:55:00,-1.0,False,-2500.0,236250.0
GBPUSD,2025-11-17 08:05:00,2.5,True,6250.0,242500.0
USDJPY,2025-11-17 08:05:00,2.5,True,6250.0,248750.0
GBPJPY,2025-11-17 09:15:00,-1.0,False,-2500.0,246250.0
GBPCAD,2025-11-17 09:20:00,-1.0,False,-2500.0,243750.0
AUDJPY,2025-11-17 09:20:00,-1.0,False,-2500.0,241250.0
GBPJPY,2025-11-17 09:20:00,-1.0,False,-2500.0,238750.0
EURGBP,2025-11-17 09:25:00,-1.0,False,-2500.0,236250.0
GBPCAD,2025-11-17 09:25:00,2.5,True,6250.0,242500.0
USDCAD,2025-11-17 09:40:00,2.5,True,6250.0,248750.0
AUDJPY,2025-11-17 12:50:00,2.5,True,6250.0,255000.0
