symbol,time,pnl_r,dollar_pnl,balance
AUDJPY,2025-11-13 06:05:00,1.4,70.0,10070.0
EURJPY,2025-11-13 06:20:00,-1.1,-55.00000000000001,10015.0
NZDUSD,2025-11-13 07:55:00,-1.1,-55.00000000000001,9960.0
AUDNZD,2025-11-13 07:55:00,-1.1,-55.00000000000001,9905.0
NZDUSD,2025-11-13 08:30:00,1.4,70.0,9975.0
AUDNZD,2025-11-13 08:30:00,1.4,70.0,10045.0
GBPJPY,2025-11-13 09:00:00,1.4,70.0,10115.0
EURGBP,2025-11-13 09:00:00,1.4,70.0,10185.0
CADCHF,2025-11-13 09:00:00,-1.1,-55.00000000000001,10130.0
GBPCAD,2025-11-13 09:00:00,1.4,70.0,10200.0
AUDJPY,2025-11-13 09:10:00,-1.1,-55.00000000000001,10145.0
AUDUSD,2025-11-13 09:10:00,-1.1,-55.00000000000001,10090.0
AUDUSD,2025-11-13 09:15:00,-1.1,-55.00000000000001,10035.0
AUDJPY,2025-11-13 09:20:00,1.4,70.0,10105.0
EURUSD,2025-11-13 09:20:00,-1.1,-55.00000000000001,10050.0
AUDUSD,2025-11-13 09:20:00,-1.1,-55.00000000000001,9995.0
EURUSD,2025-11-13 09:25:00,-1.1,-55.00000000000001,9940.0
AUDUSD,2025-11-13 09:25:00,-1.1,-55.00000000000001,9885.0
EURUSD,2025-11-13 09:30:00,-1.1,-55.00000000000001,9830.0
USDJPY,2025-11-13 09:35:00,-1.1,-55.00000000000001,9775.0
USDCAD,2025-11-13 09:35:00,-1.1,-55.00000000000001,9720.0
EURUSD,2025-11-13 09:35:00,-1.1,-55.00000000000001,9665.0
EURJPY,2025-11-13 09:40:00,-1.1,-55.00000000000001,9610.0
CADCHF,2025-11-13 09:40:00,-1.1,-55.00000000000001,9555.0
GBPUSD,2025-11-13 10:55:00,1.4,70.0,9625.0
GBPUSD,2025-11-13 14:35:00,1.4,70.0,9695.0
EURGBP,2025-11-13 14:35:00,1.4,70.0,9765.0
GBPCAD,2025-11-13 14:35:00,-1.1,-55.00000000000001,9710.0
GBPCAD,2025-11-13 14:40:00,-1.1,-55.00000000000001,9655.0
AUDJPY,2025-11-13 15:00:00,-1.1,-55.00000000000001,9600.0
AUDJPY,2025-11-13 15:05:00,-1.1,-55.00000000000001,9545.0
AUDUSD,2025-11-13 15:30:00,-1.1,-55.00000000000001,9490.0
AUDJPY,2025-11-13 16:35:00,-1.1,-55.00000000000001,9435.0
CADCHF,2025-11-13 16:35:00,-1.1,-55.00000000000001,9380.0
AUDNZD,2025-11-13 16:35:00,-1.1,-55.00000000000001,9325.0
USDJPY,2025-11-13 16:35:00,-1.1,-55.00000000000001,9270.0
GBPJPY,2025-11-13 16:35:00,1.4,70.0,9340.0
AUDJPY,2025-11-13 16:40:00,1.4,70.0,9410.0
CADCHF,2025-11-13 16:40:00,-1.1,-55.00000000000001,9355.0
AUDNZD,2025-11-13 16:40:00,-1.1,-55.00000000000001,9300.0
GBPCAD,2025-11-13 16:55:00,-1.1,-55.00000000000001,9245.0
NZDUSD,2025-11-13 17:20:00,1.4,70.0,9315.0
EURGBP,2025-11-14 08:20:00,1.4,70.0,9385.0
USDJPY,2025-11-14 08:45:00,1.4,70.0,9455.0
AUDUSD,2025-11-14 08:45:00,-1.1,-55.00000000000001,9400.0
AUDJPY,2025-11-14 09:10:00,-1.1,-55.00000000000001,9345.0
CADCHF,2025-11-14 09:15:00,-1.1,-55.00000000000001,9290.0
AUDJPY,2025-11-14 09:15:00,1.4,70.0,9360.0
GBPJPY,2025-11-14 09:20:00,1.4,70.0,9430.0
GBPUSD,2025-11-14 09:25:00,1.4,70.0,9500.0
CADCHF,2025-11-14 10:10:00,1.4,70.0,9570.0
EURJPY,2025-11-14 10:15:00,-1.1,-55.00000000000001,9515.0
EURJPY,2025-11-14 10:20:00,-1.1,-55.00000000000001,9460.0
EURGBP,2025-11-14 10:40:00,1.4,70.0,9530.0
USDCAD,2025-11-14 12:30:00,1.4,70.0,9600.0
AUDJPY,2025-11-14 13:05:00,-1.1,-55.00000000000001,9545.0
AUDUSD,2025-11-14 13:05:00,-1.1,-55.00000000000001,9490.0
GBPJPY,2025-11-14 13:10:00,-1.1,-55.00000000000001,9435.0
AUDUSD,2025-11-14 13:10:00,1.4,70.0,9505.0
GBPCAD,2025-11-14 13:10:00,1.4,70.0,9575.0
EURGBP,2025-11-14 13:10:00,1.4,70.0,9645.0
AUDJPY,2025-11-14 13:10:00,-1.1,-55.00000000000001,9590.0
AUDNZD,2025-11-14 13:10:00,-1.1,-55.00000000000001,9535.0
GBPUSD,2025-11-14 13:10:00,1.4,70.0,9605.0
AUDNZD,2025-11-14 13:15:00,-1.1,-55.00000000000001,9550.0
EURJPY,2025-11-14 13:15:00,1.4,70.0,9620.0
AUDJPY,2025-11-14 13:15:00,-1.1,-55.00000000000001,9565.0
CADCHF,2025-11-14 13:55:00,-1.1,-55.00000000000001,9510.0
CADCHF,2025-11-14 14:00:00,-1.1,-55.00000000000001,9455.0
EURUSD,2025-11-14 14:05:00,-1.1,-55.00000000000001,9400.0
USDJPY,2025-11-14 14:05:00,-1.1,-55.00000000000001,9345.0
CADCHF,2025-11-14 14:05:00,-1.1,-55.00000000000001,9290.0
EURUSD,2025-11-14 14:10:00,-1.1,-55.00000000000001,9235.0
CADCHF,2025-11-14 14:10:00,-1.1,-55.00000000000001,9180.0
USDJPY,2025-11-14 14:10:00,-1.1,-55.00000000000001,9125.0
USDJPY,2025-11-14 14:15:00,-1.1,-55.00000000000001,9070.0
EURJPY,2025-11-14 14:20:00,-1.1,-55.00000000000001,9015.0
USDJPY,2025-11-14 14:20:00,-1.1,-55.00000000000001,8960.0
EURJPY,2025-11-14 14:35:00,-1.1,-55.00000000000001,8905.0
AUDUSD,2025-11-14 14:40:00,-1.1,-55.00000000000001,8850.0
GBPUSD,2025-11-14 14:40:00,1.4,70.0,8920.0
USDCAD,2025-11-14 14:45:00,-1.1,-55.00000000000001,8865.0
AUDUSD,2025-11-14 14:45:00,-1.1,-55.00000000000001,8810.0
USDCAD,2025-11-14 14:50:00,-1.1,-55.00000000000001,8755.0
AUDUSD,2025-11-14 14:50:00,-1.1,-55.00000000000001,8700.0
AUDUSD,2025-11-14 14:55:00,-1.1,-55.00000000000001,8645.0
EURGBP,2025-11-14 16:20:00,1.4,70.0,8715.0
GBPCAD,2025-11-14 17:35:00,1.4,70.0,8785.0
AUDNZD,2025-11-14 17:55:00,1.4,70.0,8855.0
GBPCAD,2025-11-17 07:45:00,-1.1,-55.00000000000001,8800.0
EURGBP,2025-11-17 07:45:00,-1.1,-55.00000000000001,8745.0
EURGBP,2025-11-17 07:50:00,-1.1,-55.00000000000001,8690.0
GBPCAD,2025-11-17 07:50:00,-1.1,-55.00000000000001,8635.0
EURGBP,2025-11-17 07:55:00,-1.1,-55.00000000000001,8580.0
CADCHF,2025-11-17 08:05:00,1.4,70.0,8650.0
GBPUSD,2025-11-17 08:05:00,1.4,70.0,8720.0
EURUSD,2025-11-17 08:05:00,1.4,70.0,8790.0
USDJPY,2025-11-17 08:05:00,1.4,70.0,8860.0
GBPJPY,2025-11-17 09:05:00,-1.1,-55.00000000000001,8805.0
GBPJPY,2025-11-17 09:10:00,-1.1,-55.00000000000001,8750.0
AUDJPY,2025-11-17 09:15:00,-1.1,-55.00000000000001,8695.0
GBPJPY,2025-11-17 09:15:00,-1.1,-55.00000000000001,8640.0
AUDJPY,2025-11-17 09:20:00,1.4,70.0,8710.0
GBPJPY,2025-11-17 09:20:00,-1.1,-55.00000000000001,8655.0
EURGBP,2025-11-17 09:20:00,-1.1,-55.00000000000001,8600.0
GBPCAD,2025-11-17 09:20:00,-1.1,-55.00000000000001,8545.0
EURGBP,2025-11-17 09:25:00,-1.1,-55.00000000000001,8490.0
GBPCAD,2025-11-17 09:25:00,1.4,70.0,8560.0
USDCAD,2025-11-17 09:40:00,1.4,70.0,8630.0
AUDJPY,2025-11-17 10:50:00,-1.1,-55.00000000000001,8575.0
AUDNZD,2025-11-17 11:15:00,1.4,70.0,8645.0
GBPUSD,2025-11-17 12:50:00,1.4,70.0,8715.0
AUDJPY,2025-11-17 12:50:00,1.4,70.0,8785.0
NZDUSD,2025-11-17 12:50:00,1.4,70.0,8855.0
AUDUSD,2025-11-17 12:50:00,1.4,70.0,8925.0
USDJPY,2025-11-17 12:50:00,-1.1,-55.00000000000001,8870.0
NZDUSD,2025-11-17 12:55:00,1.4,70.0,8940.0
AUDUSD,2025-11-17 12:55:00,1.4,70.0,9010.0
GBPCAD,2025-11-17 13:55:00,-1.1,-55.00000000000001,8955.0
GBPCAD,2025-11-17 16:55:00,1.4,70.0,9025.0
USDJPY,2025-11-17 17:00:00,-1.1,-55.00000000000001,8970.0
EURJPY,2025-11-17 17:00:00,-1.1,-55.00000000000001,8915.0
EURJPY,2025-11-17 17:05:00,-1.1,-55.00000000000001,8860.0
USDJPY,2025-11-17 17:05:00,-1.1,-55.00000000000001,8805.0
GBPJPY,2025-11-17 17:10:00,1.4,70.0,8875.0
EURJPY,2025-11-17 17:10:00,1.4,70.0,8945.0
USDJPY,2025-11-17 17:10:00,1.4,70.0,9015.0
CADCHF,2025-11-17 17:40:00,1.4,70.0,9085.0
AUDNZD,2025-11-17 17:55:00,-1.1,-55.00000000000001,9030.0
GBPUSD,2025-11-18 06:05:00,1.4,70.0,9100.0
NZDUSD,2025-11-18 06:10:00,1.4,70.0,9170.0
GBPJPY,2025-11-18 06:10:00,-1.1,-55.00000000000001,9115.0
EURJPY,2025-11-18 06:10:00,-1.1,-55.00000000000001,9060.0
USDJPY,2025-11-18 06:15:00,-1.1,-55.00000000000001,9005.0
EURJPY,2025-11-18 06:15:00,1.4,70.0,9075.0
GBPJPY,2025-11-18 06:15:00,1.4,70.0,9145.0
CADCHF,2025-11-18 06:15:00,-1.1,-55.00000000000001,9090.0
AUDJPY,2025-11-18 06:15:00,1.4,70.0,9160.0
EURUSD,2025-11-18 06:20:00,1.4,70.0,9230.0
CADCHF,2025-11-18 06:20:00,1.4,70.0,9300.0
EURJPY,2025-11-18 06:20:00,1.4,70.0,9370.0
USDJPY,2025-11-18 06:20:00,1.4,70.0,9440.0
GBPCAD,2025-11-18 06:20:00,1.4,70.0,9510.0
