symbol,time,type,pnl_r,regime,dollar_pnl,balance
EURGBP,2025-11-18 06:35:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,9965.0
EURGBP,2025-11-19 06:55:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,9930.0
EURGBP,2025-11-20 07:40:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,9895.0
EURGBP,2025-11-21 06:25:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,9947.5
EURGBP,2025-11-24 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,9912.5
EURGBP,2025-11-25 06:20:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,9877.5
EURGBP,2025-11-26 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,9842.5
EURGBP,2025-11-27 07:55:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,9807.5
EURGBP,2025-11-28 07:05:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,9860.0
EURGBP,2025-12-01 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,9825.0
EURGBP,2025-12-02 07:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,9790.0
EURGBP,2025-12-03 08:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,9755.0
EURGBP,2025-12-04 06:20:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,9720.0
EURGBP,2025-12-05 06:20:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,9685.0
EURGBP,2025-12-08 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,9650.0
EURGBP,2025-12-09 07:00:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,9615.0
EURGBP,2025-12-10 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,9580.0
EURGBP,2025-12-11 06:50:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,9545.0
EURGBP,2025-12-12 07:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,9510.0
